Название вакансии,URL,Название компании,Требования
Team Lead PHP (Laravel),https://hh.ru/vacancy/34746810?query=Node,ООО Кузница Кадров,"Управлять командой разработчиков, работать с тестировщиком и менеджером по продукту. Ставить задачи, верно их делегировать. Проектирование и разработка модулей системы.  Обязательно опыт не меньше 2-ух лет на аналогичной позиции. Хорошее знание языков: PHP, JavaScript. Понимание что такое ACID, B..."
Инженер-разработчик клиентских приложений,https://hh.ru/vacancy/33866641?query=Node,АО Технологическая Компания Центр,"Разработка и внедрение новой функциональности веб-проектов. Проектирование и разработка UI-компонентов. Улучшение и рефакторинг существующего кода. Оптимизация производительности клиентских... Опыт разработки от 3-х лет. Отличные знания HTML5/CSS3, flex-box, принципов семантической верстки. Опыт разработки на..."
IOS-разработчик,https://hh.ru/vacancy/35832898?query=Node,ООО Claire&Clarté,Разработка iOS-приложений для многомиллионной аудитории с релизом на весь мир. Поддержка и обновление разработанного приложения. Участие в разработке Backend... Опыт разработки нативных iOS-приложений на Swift от 1 года (портфолио обязательно). Владение iOS SDK и знание особенностей платформы. 
Web Applications Security Architect,https://hh.ru/vacancy/35666939?query=Node, GE (General Electric Company),Establishing a deep understanding of customers business and technical needs from security perspective. Establishing application risk profiles and basic threat... Bachelor’s/Master’s Degree in Information Security or Computer Science. Minimum of 7 years of experience in application security...
Программист Java,https://hh.ru/vacancy/35881202?query=Node, Kantar TNS,"Внедрение и поддержка программного обеспечения (учетная система). Реализация оперативных задач внутренних заказчиков, связанных с функционированием Maconomy и Jira.  Образование высшее. Знание Java. Уверенное знание MS SQL. Опыт внедрении корпоративных учетных систем (ERP, CRM, Project Management). Приветствуется знание другого..."
С++ разработчик (Senior/ Expert),https://hh.ru/vacancy/35066904?query=Node, Bell Integrator,"Проект: Развитие продуктов для машинного контроля сельскохозяйственной техники, автономное управление машинами и устройствами. Расширение функционала существующих SDK(C++), особенно для... Опыт разработки на стеке С++, QT, QML от 3-х лет (уровень Senior/ Expert). Готовность к краткосрочным командировкам в Италию..."
Фронтенд разработчик Ext JS (Sencha),https://hh.ru/vacancy/34933492?query=Node,ООО Р-Вижн,"Работа над фронтэндом (Ext JS) системы R-Vision (централизованной системы мониторинга и управления информационной безопасностью). Решение нестандартных / сложных технических задач... Знание JavaScript (опыт работы от 2х лет). Опыт работы с Ext JS (версия не ниже 4-ой, в идеале..."
SDET / Software Development Engineer in Test на проект Polys.me,https://hh.ru/vacancy/35416155?query=Node, Лаборатория Касперского,Разработка новых автоматизированных тестов для UI & API и поддержка уже имеющихся тестов. Дизайн тест кейсов. Ревью тестовых сценариев.  знание методологии тестирования ПО. Опыт работы с Selenium или другими инструментами для автоматизации UI. Умение программировать на JS/Node.js/Java...
BI Consultant,https://hh.ru/vacancy/35872887?query=Node, GOST-group,"Проектирование и разработка дашбордов и отчетов, отвечающих потребностям заказчика. Обеспечение непрерывной работы по улучшению реализованных BI решений (мониторинг и анализ... Опыт работы на аналогичной позиции от 2-х лет. Практический опыт работы с указанным технологическим стеком. Знание основных принципов проектирования..."
Senior iOS-разработчик,https://hh.ru/vacancy/35744317?query=Node, PROFI.RU,"Вносить ощутимый вклад в развитие продукта: внедрять свои идеи и писать большие фрагменты значимого кода. Видеть, насколько твои решения заходят... Опыт коммерческой разработки клиентских iOS-приложений — от трёх лет. Преимуществом будет работа с массовыми сервисами или маркетплейсами. Тебе приходилось делить..."
Lead/senior front-end developer (ReactJS),https://hh.ru/vacancy/34185321?query=Node, ARTOX,"Руководство командой разработчиков и менторинг (обзоры кода, оценки, участие в собеседованиях, 1to1 митинги). Участие в развитии текущих и... Уверенно знает Javascript (ES5/ES6). Имеет знания и опыт ReactJS (от 1 года) + Redux. Понимает принципы функционального..."
Руководитель безопасности веб-проектов (application security lead),https://hh.ru/vacancy/35124219?query=Node, Rambler Group,Организация и развитие процесса безопасной разработки приложений S-SDLC. Интеграция DAST/FAST (может и SAST) тестирования в процессы веб-разработки.  Опыт работы в качестве Application security engineer\lead не менее 2-х лет. Глубокое понимание принципов работы современных веб-приложений...
Ведущий разработчик,https://hh.ru/vacancy/35419173?query=Node,ООО ВойсЛинк,"Проектирование и разработка интерфейсов приложений, технологических и прикладных сервисов платформы. Написание автотестов, исправление багов, участие в ревью кода.  Знание языков и технологий (обязательно): Python, Javascript, Typescript, Angular2+, Node js. Понимание принципов проектирования баз данных, опыт работы..."
Архитектор (Blockchain),https://hh.ru/vacancy/35653110?query=Node, Waves,"Проектирование новой и оптимизация имеющейся функциональности блокчейн-платформы (протоколов и алгоритмов, функциональных модулей). Проведение исследований в области развития функциональности блокчейн... Опыт работы системным архитектором, опыт проектирования информационных систем. Знание методологий и паттернов проектирования. Понимание особенностей проектирования архитектуры децентрализованных систем. "
Ведущий инженер по нагрузочному тестированию,https://hh.ru/vacancy/35271910?query=Node,ООО Жилищная Экосистема ВТБ,"Оценивать, планировать работу по нагрузочному тестированию. Взаимодействовать с продуктовыми командами. Проводить анализ бизнес требований и формировать требования к производительности системы.  Опыт работы в области IT не менее 3-х лет, опыт выполнения проектов по нагрузочному тестированию от 2 лет. "
Руководитель отдела разработки (Team Lead),https://hh.ru/vacancy/35580035?query=Node,ООО А-КЛУБ,"Исполнение роли лидера группы: планирование работы, декомпозиция задач для команды, отслеживание выполнения задач разработчиками. Непосредственное участие в разработке: Мобильная разработка... Знание ООП. Опыт управления командой от 3 человек. SCRUM, Опыт работы в Jira или других таcк менеджерах. Опыт разработки от..."
Site Reliability Engineer(SRE)/Software Engineer,https://hh.ru/vacancy/35401424?query=Node, Тинькофф,"Оптимизация имеющихся систем, уменьшение нагрузки на сопровождение и обслуживание систем за счет автоматизации. Изучение имеющихся систем и поддержание актуальных знаний... Опыт разработки асинхронных многокомпонентных систем. Знание некоторых из перечисленных языков программирования (формируется много команд с разными профилями):Java, Kotlin, Scala..."
"РНР-разработчик в команду ""Обработка заказов""",https://hh.ru/vacancy/35308793?query=Node, PROFI.RU,"Мы отвечаем за путь клиента с оформления заказа до момента, когда специалист подобран. Поддерживаем чаты и разрабатываем инструменты для упрощения... Не только писать код, но и вместе с командой работать над проблемами в продукте. Пригодятся логика и творческий подход. "
Системный администратор Linux,https://hh.ru/vacancy/32526391?query=Node, ALP Group,"Администрирование инфраструктуры клиентов на Linux (Debian, Ubuntu, RHEL, CentOS, BaseAlt). Настройка и поддержка отказоустойчивых кластеров PostgreSQL, RabbitMQ, ElasticSearch, Zabbix, Graylog.  Образование не ниже среднего. Опыт и навыки администрирования серверов Linux от 1 года. Опыт работы с системами виртуализации\контейнерами (KVM..."
Devops / Системный администратор,https://hh.ru/vacancy/35589365?query=Node, WhenSpeak,"Настройка серверного окружения. Организация Deployflow. Мониторинг производительности. Сбор и анализлогов. Резервное копирование. Поиск и устранение проблем, разбор инцидентов.  Администрирование linux-серверов (ubuntu / Debian / CentOs). Знание Docker и Kubernetes. Опыт работы со стеком nginx/php-fpm/laravel/postgresql +..."
JavaScript Senior/Developer (Remote),https://hh.ru/vacancy/35843812?query=Node,ООО ЦИФРА,"Разработка front-end архитектуры приложений. Оценка работы приложения и качества кода. Оптимизация, профилирование, рефакторинг приложения. Взаимодействие с командой разработки. Опыт разработки программного обеспечения на JavaScript от 3-х лет. Знание шаблонов проектирования и алгоритмов. Знание принципов OOП, MVC и..."
Frontend developer,https://hh.ru/vacancy/35467296?query=Node, URSiP,"Реализация функциональностей frontend частей сервисов в рамках релизной политики проектов. - Поддержка и развитие существующих систем компании. - Участие в обсуждениях реализации... знание протоколов и принципов функционирования сети Интернет, современных web-браузеров и их особенности. - HTML, каскадные таблицы стилей CSS, основы UI..."
Ведущий frontend разработчик (React),https://hh.ru/vacancy/34112120?query=Node, X5 RETAIL GROUP,"Мы работаем в по Agile-методологии: спринты, стенд-апы, частые релизы, плотная работа с бизнес командой. Задачи продуктовой команды: Построение... Понимание принципов работы информационных систем. Опыт коммерческой разработки на REACT от 1 года (наличие реальных проектов). JS (в т.ч. "
Web-разработчик,https://hh.ru/vacancy/35854804?query=Node, Специальные системы и технологии,"Разработка внутрикорпоративных порталов по управлению задачами. Доработка веб-части MS CRM Dynamics 365. Работа в команде полного цикла разработки ПО. От 3-х лет в области разработки. Английский, чтение технической литературы и изучение форумов. Наличие высшего образования."
Front-end/ReactJS developer (Кипр),https://hh.ru/vacancy/35855802?query=Node, Wisebits," Отличное знание JavaScript: native js, event loop, scope, context, prototype. Владение HTML, CSS. Законченное высшее образование (важно для миграционных властей). "
Старший разработчик Node.JS,https://hh.ru/vacancy/35835711?query=Node, Яндекс,"Поддержка и развитие инструментов для разработчиков, тестировщиков и менеджеров и создание новых таких инструментов. Развитие системы непрерывной интеграции и непрерывного... Опыт разработки ПО от двух лет. Знание языков JavaScript и Python или готовность их изучить. Знание классических алгоритмов и структур..."
Fullstack-разработчик в беспилотные автомобили (Python/Javascript),https://hh.ru/vacancy/33600476?query=Node, Яндекс, Обязательны: Опыт работы с большими проектами. Профессиональное владение современными JS-фреймворками. Опыт кроссбраузерной разработки. Хорошее знание HTML и CSS. 
Frontend-разработчик,https://hh.ru/vacancy/35856491?query=Node,ООО Клик-ту-мани,"Разработка front-части новых продуктов. Поддержка и развитие существующих сервисов. Javascript/Typescript. Angular || React || Vue. Git. Английский язык, технический, хотя бы уровень чтения StackOverflow. Понимание принципов работы Docker, Kubernetes."
C# Junior Backend разработчик,https://hh.ru/vacancy/35856503?query=Node,ООО Клик-ту-мани,"Разработка новых сервисов на ASP.NET. Поддержка существующих сервисов. Хорошее знание С#, ASP.NET MVC. Знание Git. Знание SQL (мы используем PostgreSQL и MS SQL Server). Linux. Английский язык, технический..."
"Программист, разработчик моб. приложения",https://hh.ru/vacancy/35858260?query=Node, Мастер Микс,"написание моб.приложения и интеграция его с внешними базами данных. - управление из моб.приложения внешними устройствами через api. - создание нативных приложений на... Наша команда в поисках талантливого сотрудника на должность разработчика приложений, совмещающего в себе навыки и умения программирования, а также web..."
Backend разработчик (C#),https://hh.ru/vacancy/35549271?query=Node, X5 RETAIL GROUP,"Создание и изменение BackEnd решений Дирекции Безопасности. Перевод существующих BackEnd решений на новые технологии. Участие в проектировании архитектуры.  Опыт работы от 4х лет по направлению. ASP.NET MVC WEB API 5 (C#), .Net 4.5.1 (C#) как..."
C# Middle/Senior Backend разработчик,https://hh.ru/vacancy/35856497?query=Node,ООО Клик-ту-мани,"Разработка новых сервисов на ASP.NET. Поддержка существующих сервисов. Хорошее знание С#, ASP.NET MVC. Знание Git. Знание SQL (мы используем PostgreSQL и MS SQL Server). Linux. Английский язык, технический..."
Frontend Developer / React,https://hh.ru/vacancy/35830094?query=Node, Сбербанк для экспертов,Участие в разработке аналитических продуктов платформы кибербезопасности Сбербанка: - система мониторинга событий безопасности. - аналитическая платформа расследования инцидентов мошенничества. - Настройка webpack. Практический опыт проектирования и разработки на React от 2-х лет. - Опыт работы с библиотеками состояний redux / mobx / context api. - 
Backend разработчик,https://hh.ru/vacancy/35020228?query=Node," Оптиком, компания","Интеграция с 1С по средствам RabbitMQ. Ведение тестов и тестирование. Ведение CI/CD и мониторинг. Поддерживать имеющиеся проекты компании. Общие знание о Node.JS и React+Redux. Соответственно, Seleneum. Разработка в 1С и знание его языка запросов. Знания в области..."
Junior/Middle Frontend разработчик,https://hh.ru/vacancy/35838450?query=Node, Onlife Management OÜ,"Участие в разработке административных веб-интерфейсов для пользователей системы (SPA). Взаимодействие с backend-разработчиками и тестировщиками. Возможно участие в проектировании... Опыт работы frontend-разработчиком от года. Уверенные знания HTML5/CSS3, JavaScript (ES5+), TypeScript, ES2015+. "
Backend-разработчик,https://hh.ru/vacancy/35824604?query=Node, 2050.Digital,"Создание нового и развитие существующего REST API (http, mqtt). Реализация и оптимизация сложных запросов CQL (Cassandra). Реализация промышленных протоколов / драйверов... Наличие опыта реализации драйверов / протоколов работы с внешними устройствами. Опыт разработки Node-Red. Умение читать чужой код. Чтение технической документации..."
Senior Frontend разработчик (Angular),https://hh.ru/vacancy/35834683?query=Node, Onlife Management OÜ,"Разработка административных веб-интерфейсов для пользователей системы (SPA). Взаимодействие с backend-разработчиками и тестировщиками. Участие в проектировании архитектуры веб-сервисов.  Опыт работы frontend-разработчиком от 5 лет. Отличное знание HTML/CSS, JavaScript (ES5+), TypeScript, ES2015+. "
Junior QA Manager,https://hh.ru/vacancy/35851812?query=Node,ИП Голубева Зоя Владимировна,"Более 3 лет реализовываем мультимедийные проекты. Разрабатываем технологические продукты для бизнеса. Внедряем инновации в сферу маркетинга и инструментов продаж.  XR (виртуальная, дополненная и смешанная реальности) - Unity3D, ARKit, ARCore, Vuforia, VisionLib, SteamVR, MagicLeap SDK. Web-сервисы - Node.js, React..."
Full Stack developer (партнерский проект),https://hh.ru/vacancy/35820285?query=Node, Zoon.ru,"Оптимизировать работу сайта: увеличивать скорость, производительность, оптимизацию запросов, рефакторинг. Разрабатывать новые фичи, которые увеличат конверсию и трафик. Поддерживать текущую кодовую... Знания HTML и JS, а именно: vue, react, jquery, node, webpack. Умение писать запросы - MySQL, иметь представление об оптимизации запросов..."
JavaScript разработчик,https://hh.ru/vacancy/35823729?query=Node,АО Сбербанк - Технологии,Переход на cloud-native архитектуру. Оптимизация и универсализация интеграционных взаимодействий. Развитие отказоустойчивости для mission-critical систем. Написание REST сервисов для... Уверенное знание нативного JavaScript и особенностей языка. Практический опыт проектирования и разработки на React+Redux от 2-х лет. 
Архитектор IoT,https://hh.ru/vacancy/35405420?query=Node, IBS Platformix,"Формирование портфеля решений в области промышленного интернета вещей. Общение с представителями заказчиков (технический пресейл). Разработка архитектуры решений класса промышленного IoT... Высшее техническое образование. Опыт проектной работы в роли архитектора (формирование требований к решению, декомпозиция задач, выработка целевой архитектуры, проектная документация). "
Frontend-разработчик ( Vue ),https://hh.ru/vacancy/34352487?query=Node,АО ФИНАМ,"Участие в разработке крупного SPA-приложения (vuejs, TypeScript, grpc-web). Поддержка и доработка существующего портала (jQuery, knockout, gulp, webpack, React... Знания по CSS и HTML. Навыки адаптивной вёрстки. Опыт работы с node js. Опыт работы с пакетными менеджерами - yarn, npm. "
Middle frontend (Angular)-разработчик,https://hh.ru/vacancy/35310571?query=Node, Инверсия,"Создание корпоративных WEB-приложений. Работа над библиотекой компонент. Участие в командной разработке в качестве постановщика задач. Опыт frontend-разработки от 3 лет. Опыт работы с Angular 2+, Angular CLI, Angular Material, RxJS. Знание JavaScript, TypeScript..."
Старший программист,https://hh.ru/vacancy/33785758?query=Node,АО Спарго Технологии,"1) Разрабатывает программное обеспечение (PharmaDATA, ePrica, F3 TAIL,еФарма2-Льгота,F3 RAP). 2) Внедряет компьютерное и торговое... Высшее образование. ООП. ASP.NET Core. React."
Архитектор системы (личный кабинет),https://hh.ru/vacancy/35655460?query=Node,ПАО Московская Биржа,Взимодействие со смежными командами и определение зон ответственности при реализации задач. Проведение интервью команды разработки. Разработка архитектурной документации и защита... Высшее техническое образование. Опыт engineer/architect или схожих позициях не менее 5-ти лет. Подтвержденный практический опыт проектирования. 
Java-разработчик,https://hh.ru/vacancy/33285853?query=Node, FLEETCOR Россия,"Разработка архитектуры и решений для реализации голосовых и текстовых ботов на базе Google Dialogflow (бывш. API.ai). Создание собственной платформы коммуникаций. Знание языков: Java, SQL, XML, JSON. Опыт работы с фреймворками Spring, Hibernate. Знание протоколов: REST/SOAP, HTTPS/SSL. "
QA Automation Engineer,https://hh.ru/vacancy/32605613?query=Node, BingoBoom,"Разработка новых и поддержка существующих автоматизированных сценариев тестирования: Регрессионные end-to-end тесты, Смоук-тесты и healh-check компонентов ПО.  Знание основных видов тестирования, опыт их проведения. Уверенное знание JAVA SE, SQL, и ООП. Уверенное знание HTML/CSS. "
Программист-разработчик,https://hh.ru/vacancy/35824417?query=Node,ООО Концерн Гудвин (Гудвин Европа),"Разработка программ и их тестирование. Опыт работы в области разработки радиоэлектронного оборудования от 3 лет. Знание HTML, CSS,Java script (Augular ), современный фреймворков. "
Frontend-разработчик (МТС Твой бизнес),https://hh.ru/vacancy/35673011?query=Node,ООО Стрим,"Работа над нашим основным продуктом, витриной digital-сервисов для предпринимателей с личным кабинетом, подписками и оплатой. Комплексное решение задач на... Frontend разработчика с опытом. Человека, которому нравится работать над интересными задачами и искать новые решения. Опыт работы с TypeScript от..."
Service Delivery Manager,https://hh.ru/vacancy/35855297?query=Node, Леруа Мерлен. Центральный офис,"Ответственность за выполнение основных задач службы поддержки: управление эскалацией инцидентов, управление ключевыми показателями эффективности (KPI) и уровнем сервисного обслуживания (SLA... Высшее образование в области технических наук, делового администрирования, бизнес-информатики или по аналогичным направлениям. Владение английским языком - разговорные и письменные..."
Frontend-разработчик (vue.js),https://hh.ru/vacancy/34998477?query=Node," Компания «СПОРТМАСТЕР», SM Lab","Разработка совершенно нового сайта компания ""с нуля"" на Vue.js. Проектирование, выбор компонентов, взаимодействие с ""беком"". Разрабатывать/дорабатывать front-end на... Опыт работы с Vue.js и его экосистемой. Знание особенности работы основных браузеров. Понимание как отлаживать и профилировать в devtools. "
Lead Full stack developer (Angular\Node),https://hh.ru/vacancy/35812231?query=Node, CT Consulting,Take part in building our CRM for healthcare. Communication with the team & client. Helping team during planning’s and on... Immersion in the newest sphere of knowledge - cloud computing. Wide range of different projects for every taste - small and extra...
Full stack-разработчик веб-приложений,https://hh.ru/vacancy/35330430?query=Node,ООО АКСИТЕХ,"Выполнение работ по разработке корпоративного портала. Участие в разработке приложений/порталов по проектам компании. Разработка модулей к существующим системам.  Хорошее знание современных веб-технологий – NodeJS, REACT, REDUX и т.п.. Знание JavaScript, HTML/CSS (Material, Bootstrap, jQuery и т..."
Frontend-разработчик,https://hh.ru/vacancy/34554470?query=Node, ИОН — НOУ-ХАУ,"HTML-верстка и Frontend-разработка интернет проектов компании. Адаптивная верстка под мобильные устройства для новых проектов компании.. Тестирование верстки на... Уверенное знание HTML, CSS, JavaScript. Понимание JS фреймворков (ReactJS, NextJS). Опыт работы с SASS и Webpack. Знание TypeScript приветствуется. "
JavaScript Developer (Angular),https://hh.ru/vacancy/35329275?query=Node, Лаборатория Касперского,"Развитие основного сайта (my.kaspersky.com) и кастомизаций под партнёров, рефакторинг существующих и создание новых frontend-решений с использованием современных технологий (Angular... Уверенное знание Javascript, уверенное владение инструментами сборки Webpack. Понимание базовых принципов веб-разработки (протокол HTTP, HTML/CSS/JS). "
Senior Front-End Developer,https://hh.ru/vacancy/35805271?query=Node," EPAM Systems, Inc.","Разработка и тестирование веб-приложений. Внедрение лучших практик разработки. Тестирование продуктов, чтобы убедиться, что выполненная работа соответствует ожидаемым требованиям и... Опыт разработки программного обеспечения на JavaScript от 3-х лет. Знание шаблонов проектирования и алгоритмов. Знание принципов OOP. "
Team Lead C# (.NET),https://hh.ru/vacancy/35401834?query=Node,ООО ТОП КЕЙС,"Разработка приложений на платформе Microsoft .NET. Разработка WEB решений с применением MVC, ASP.NET, C#, jQuery, Entity Framework. Опыт работы от 5 лет. Опыт работы в роли тим-лида в командах от 3-х человек. .NET/C# от..."
Web-разработчик,https://hh.ru/vacancy/35805302?query=Node, ИнтэлЛекс," Знание шаблонов проектирования и умение их применять. Уверенное владение JavaScript (ES6 и новее), CSS и HTML. Владение React. "
Аналитик технической поддержки,https://hh.ru/vacancy/33923323?query=Node, Ай-Теко (I-Teco),"Анализ инцидентов и дефектов ПО в рамках 2/3-й линии технической поддержки (включая разбор кода), формирование обходных решений, написание... Знание SQL, опыт работы с одной из следующих СУБД: PostgreSQL (предпочтительно), MySQL, MSSQL, Oracle. Аналитическое мышление, понимание принципов работы ИС. "
Python backend developer,https://hh.ru/vacancy/35376934?query=Node,ИП Дубовицкая Светлана Владимировна,Настройка окружения для разработки. Участие в разработке веб-приложения для агрегации данных из социальных сетей. Курирование работы frontend разработчика. Обязательные знания: Python. Опыт разработки архитектуры. Опыт работы с СУБД; работа в Unix-окружении. Желательно Flask \ Django; JS; Node.js; верстка...
Blockchain Engineer R&D,https://hh.ru/vacancy/35358182?query=Node, LATOKEN,"Opportunity to build the new transborder financial system without banks and brokers. Hardworking team, dedicated to scalable clients' success.  Brilliant engineering, math and problem-solving skills (ACM/ICPC finalist level). Strong experience in one of C++/C#/Java. "
Frontend разработчик,https://hh.ru/vacancy/35801700?query=Node, Леруа Мерлен. Центральный офис,"Разработка ключевой части сайта leroymerlin. Разработка бизнес логики, контрибьютинг в ui-kit. Никакого легаси. Никакого ie11, только современный стек... React.js. Умение верстать красиво и доступно для пользователя. Уверенные знания git и подходов непрерывной интеграции CI/CD. Базовые знания Node.js..."
Full-stack разработчик,https://hh.ru/vacancy/35259377?query=Node, Publicis Groupe,"Разрабатывать интерактивные интерфейсы и standalone/PWA веб-приложения. Разрабатывать серверную часть (backend) (node, mongodb). Сопровождать код юнит и интеграционными тестами... Отличные знания Javascript (es6, async) и React (hooks, router, native context / redux). PostgreSQL / Mongodb. Webpack, Gulp, Grunt, SASS / LESS. "
Специалист по качеству (QA),https://hh.ru/vacancy/35833816?query=Node,АО РТИ,"Валидация и верификация проектных документов. Разработка организационной спецификации тестирования, организационной стратегии тестирования, плана тестирования, спецификации проекта тестирования, спецификации контрольных примеров... Уверенный пользователь Linux. Опыт работы с VDI-окружением. Знание устоявшейся терминологии в части уровней и видов тестирования ПО и ПАК. "
DevOps engineer,https://hh.ru/vacancy/35513292?query=Node," ВСК, САО","Администрирование и настройка Linux-систем (RHEL, CentOs). Администрирование HTTP-серверов (Nginx, Apache HTTP Server). Написание и работа с SQL-запросами... Высшее образование (техническое). Опыт работы в аналогичной должности, с релевантным опытом - не менее 3-х лет. Знание Linux-систем на..."
Программист,https://hh.ru/vacancy/35573528?query=Node,ООО Акл Системс,"Разработка комплексных решений по автоматизации. Разработка программного обеспечения для интеграции устройств в систему ""Умный дом"". Настройка программного обеспечения для системы... Умение самостоятельно решать комплексные задачи, продумывая и реализовывая план действий. Технический английский (чтение документации). Знание API интеграций. Знание протоколов и..."
Java-разработчик,https://hh.ru/vacancy/35226442?query=Node," ЗЕНИТ, банк","Отвечает за преобразование идеи и концепции цифрового продукта в его рабочую версию, т.е. за непосредственно разработку продукта, написание кода... Знание Java (8/11), Spring, а также как преимущество один или несколько языков из Node.js, C#, Go, Python. "
Ведущий web-разработчик,https://hh.ru/vacancy/28424302?query=Node, MANGO OFFICE,"Разработка приложений и их компонентов. Разработка технических решений, проектирование архитектуры приложений и сервисов. Управление командой разработчиков, постановка задач и контроль... Высшее образование (техническое, математическое, физическое). Опыт руководства командой от 3-х человек. Опыт фронт-разработки на популярных JS фреймворках. "
Web-разработчик (70),https://hh.ru/vacancy/35255104?query=Node,АО ГНИВЦ,"Разработка программного обеспечения (full-stack). Участие в создании архитектуры программных решений. Разработка программного обеспечения. Проверка и сопровождение разработанного ПО.  Опыт работы с системами контроля версий (Git, TFS). Навыки использования Node, NPM/Yarn, Webpack. Знание MobX. Знание C#, знакомство с..."
"Разработчик на Java (Senior), Москва",https://hh.ru/vacancy/35804764?query=Node, DriverPack Solution, 1. Мы честны друг с другом.
Frontend-разработчик,https://hh.ru/vacancy/35780044?query=Node,АО Дитсманн,"Разработка интерфейсных компонентов (инфраструктура и веб-интерфейсы). Разработка клиентской логики на JavaScript. Визуализация данных, дизайн, верстка макетов совместно с UI... Высшее или среднее специальное, специальность: «Программное обеспечение вычислительной техники и автоматизированных систем». Опыт работы в коммерческих и других организациях в..."
"Разработчик на C# (Senior), Москва",https://hh.ru/vacancy/35804725?query=Node, DriverPack Solution, 1. Мы честны друг с другом.
Инженер,https://hh.ru/vacancy/35550584?query=Node,ООО Акл Системс,"Разработка комплексных решений для системы ""Умый дом"" на базе существующих устройств. Работа с интерфейсами и протоколами: RS232/485, Ethernet... Высшее образование электронщика. Наличие собственных наработок в области автоматизации или роботехники. Умение ""работать руками"", владение паяльником. Опыт работы с измерительными..."
Оператор службы поддержки,https://hh.ru/vacancy/34079001?query=Node, BingoBoom,"Вносить персональные данные клиентов в базу. Общаться с клиентами с целью подтверждения их личности. Демонстрировать высокий стандарт обслуживания клиентов компании... Опыт работы от 6 месяцев, в среде, ориентированной на клиента. Способность работать с большими объемами информации и запросов. "
Системный Инженер (DevOps),https://hh.ru/vacancy/35838327?query=Node,ООО Научный логистический центр,"Создавать и развивать проекты вместе с разработчиками: от выбора решений (софт, оборудование) — до сопровождения и дальнейшего развития. Автоматизация развертывания и... Широкий кругозор в области современных ит-технологий, аналитический склад ума. Опыт разработки и понимание архитекутры информационных систем. Навыки использования Git..."
