Название вакансии,URL,Название компании,Требования
Back-end / Front-end разработчик,https://hh.ru/vacancy/35700209?query=Node,ООО Лето,"Проектирование и разработка frontend инвестиционного приложения. Проработка API для работы с backend (Graphql, socket.io). Участие в проектировании backend-архитектуры и... Webpack. Vue + vuex. SCSS. JQuery. Socket.io. Graphql. Node.js. Express. Graphql. Socket.io. Sequelize ORM (postgresql/mysql). Nightwatch для e2..."
JavaScript разработчик,https://hh.ru/vacancy/35603792?query=Node,ООО Проект А,"Имеющего интерес к реактивному программированию, работе на современных инструментах – Vue.js, Webpack, ES6. Разработка на Vue.js на JavaScript или TypeScript.  Желающего погрузиться в современные стандарты языка JavaScript и его типизированной версии TypeScript. Высшее техническое образование. Опыт работы: от 1 года. "
Node.js developer,https://hh.ru/vacancy/35740046?query=Node, Авторазбор.рф,"Технологический стек (Git, JavaScript, NodeJS(Express, jade, websockets, npm, bower), Nginx, PosgtreSQL, trello). Разработка и поддержка ecommerce портала.  Понимание принципов работы Node.JS (обязательно). Владение фреймворком Express(желательно понимание passportjs). Владение SQL(PostgreSQL) на уровне написания сложных запросов и..."
Fullstack Developer (Node.js + Electon.js),https://hh.ru/vacancy/35816501?query=Node, NEXTRP,"Разработка десктоп-приложений для Windows 7, 8.1, 10. (Backend+Frontend). - Разработка Web-приложений для Linux (Debian-based) (Backend).  Опыт разработки NodeJS приложений для Linux (Debian-based) систем не менее 12 мес. Знание как минимум одного популярного фреймворка (Vue..."
Frontend-разработчик,https://hh.ru/vacancy/35677241?query=Node, Билайн,"Разработка и развитие web-приложений для компании. Участие в планировании и организации процесса разработки. Согласование с бизнес-заказчиком требований к... Знание основных web-технологий HTML, CSS, JavaScript (далее JS). Знание английского языка на уровне чтения документации. Знание и опыт работы..."
Frontend-разработчик / Frontend-программист,https://hh.ru/vacancy/35610997?query=Node,ООО Авакс,"1. Поддержка и доработка существующих сайтов. 2. Разработка новых лендингов и страниц. 3. Исполнения всех необходимых действий для обеспечения и... Высшее техническое образование. Опыт работы программистом от 2-х лет. Знание PHP, HTML, CSS, JS, будет плюсом NodeJS. JQuery. "
"Senior NodeJS разработчик (React, Vue)",https://hh.ru/vacancy/35733229?query=Node, DriverPack Solution,"Каждая задача описывает проблему. После этого: Обсуждаем командой программистов и вырабатываем решение и оценку. WebTorrent для уменьшения нагрузки на CDN... Не делай лишнего. Сделай простой работающий скелет. Сделай его хорошо. Ты не переносишь Legacy код. Проекту, всё таки, 10 лет..."
Front-end developer with experience in React or Angular,https://hh.ru/vacancy/34394131?query=Node, Soshace,Guarantee of regular payments and reliable clients. We search for clients and do all the paperwork. After the first project... 3+ years of professional software development experience with JavaScript. 1+ year of professional experience with React or Angular...
Backend-разработчик,https://hh.ru/vacancy/35629745?query=Node, FunBox," Метрики и InfluxDB, Kapacitor, Telegraf, Grafana. Что нужно уметь: Понимать, что такое метрики сервисов, и иметь интерес к этой теме. "
Backend/Full stack разработчик (Node.js + TypeScript),https://hh.ru/vacancy/35432913?query=Node, ОНЛАНТА (ГК ЛАНИТ),"Front-end - личные кабинеты, различные графики, настройки использования и отчёты сервиса. Back-end - реализация функционала, необходимого фронту, плюс реализация непосредственного... PostgreSQL. Умение работать в Linux. Знание React.Js и Redux. Опыт разработки систем в микросервисной архитектуре и работы с геоинформационными системами. "
Back-end разработчик,https://hh.ru/vacancy/35684451?query=Node, WAZZUP,"Задачи и достижения: Микросервисная архитектура, единый репозиторий на GitLab. Бекенд на Node.js: api на express, с базой на PostgreSQL взаимодействуем... Все просто: нужно разрабатывать новые разделы WAZZUP. Разрабатывать хорошо – обязательно. Еще желательно быстро. Первое правило разработки: лучше читаемый нерабочий код..."
"Frontend разработчик (React JS, Product)",https://hh.ru/vacancy/35828185?query=Node, Kodix,"Вся команда inhouse. Использовать все свои знания и навыки, предлагать решения и развиваться вместе с командой. Пожелания к опыту: Знание JS, опыт работы..."
Frontend-разработчик,https://hh.ru/vacancy/35789826?query=Node,ООО Вай  Клаб,"Написание клиентского кода, подключение функциональности бэкенда. - Разработка мобильных приложений на React Native под iOS и Android. В работе используем Figma... Что мы хотим видеть: - Уверенное знание JavaScript (ES6+). - Работа с версткой (Flexbox). - Знание React/React-Native или готовность..."
Frontend developer,https://hh.ru/vacancy/35491929?query=Node,ООО Брэдбери Лаб,"Разработка клиентской части Smart TV и WEB-приложений. Разработка внутренних сервисов компании. Участие в запуске OTT портала. Опыт работы над крупными проектами от двух лет. Отличные знания HTML, CSS и особенностей браузеров. Глубокое знание JavaScript, AJAX, умение..."
"Full Stack Web Developer (Senior) Vue, JS, NET",https://hh.ru/vacancy/35829735?query=Node, SPN,"Разработка нового модуля мультимедийной платформы доставки контента в замкнутых сетях. Программирование и покрытие кода тестами. HTML, JS, SASS, Vue, Vuex... Отличные знания JavaScript, CSS 3, HTML 5. Отличные знание Vue (предпочтительно) / React / Angular. Опыт программирования на Python3 / Golang. "
Frontend Developer,https://hh.ru/vacancy/35852967?query=Node,ООО Эйчаркетинг,"Отлично знаешь Javascript/VanillaJS, разрабатывал клиентские приложения на React + Redux. Работать в команде — не просто выполнять таски, а принимать... Внимательно относишься к вёрстке и деталям. Знаешь особенности современных браузеров. Будет плюсом. Знаешь и использовал MobX, RxJS, GraphQL, Angular, Vue..."
Front end developer React (в Ригу),https://hh.ru/vacancy/35435126?query=Node, SIA Media Solutions," Необходимые навыки. — Опыт 3+. — Знания vanilla JavaScript первичны. — Знания React, Flux, MobX, Redux. — Опыт работы и понимание HTTP API..."
Frontend-developer React.JS,https://hh.ru/vacancy/35419603?query=Node,ООО Мигас,"Доработка сайта. Оптимизация кода. Разрабатывать Frontend для существующих и новых продуктов компании. Взаимодействовать с коллегами, работа в команде под руководством... Опыт работы в должности Frontend-разработчика от 1 года (уровень Junior+ и выше). Опыт работы с React 8+. "
"Ведущий веб-разработчик (Node.js, PHP)",https://hh.ru/vacancy/35022292?query=Node,ООО Кадвайс-Н,"Разработка и поддержка веб-проектов компании в области САПР, eCommerce и не только. Профильное высшее образование и опыт работы от 5 лет. Отличные навыки ООП, опыт использования паттернов проектирования. Умение писать понятный, надежный..."
"JavaScript разработчик (Node.js, React)",https://hh.ru/vacancy/35275425?query=Node, Star-staff,"В качестве примера, сервисы компании управляют поворотными камерами, собирают данные о сетевой доступности устройств, контролируют выполнение задач по расписанию, получают... Рассматриваем как отдельно Node.js и React разработчиков, так и full-stack. - Уверенные знания Javascript, Node.js или React. - Опыт создания веб..."
Front-end разработчик (Vue.js),https://hh.ru/vacancy/35763964?query=Node, B2B-Center,"Создавать интерфейсы по эскизам UI дизайнера. Работать бок о бок c дизайнерами, в команде с другими front-end разработчиками.  Уверенные знания JavaScript (общий поток, ООП, API), основные алгоритмы, современный стандарт ES6, области применения и архитектурные паттерны. "
NodeJS разработчик,https://hh.ru/vacancy/35535718?query=Node,ООО Астрософт Про,"Спецификации/протоколы/стандарты: json-rpc, OAuth, mqtt. Разработка документации apidoc/swagger. Опыт разработки веб приложений, веб-сервисов, cli на nodejs. Node: grunt, express, sequelize, es6, nunjucks, ajv. Фронт: HTML5..."
Преподаватель JavaScript в очную школу программирования (node/ react),https://hh.ru/vacancy/35323451?query=Node, Elbrus Coding Bootcamp,Читать лекции по готовой программе. Помогать студентам в выполнении практических заданий. Проводить code review. Имеете коммерческий опыт от двух лет в создании digital-продуктов? Опыт коммерческой разработки на JavaScript от 2-х лет. 
Node.js разработчик,https://hh.ru/vacancy/35781589?query=Node, Star-staff, Опыт разработки сервисов на node.js от 3х лет. Опыт работы с REST/JSON API. Опыт работы с БД (PostgreSQL...
Node.js разработчик,https://hh.ru/vacancy/31264028?query=Node, BingoBoom,"Разработка и поддержка внутренних и внешних проектов компании (никакого сайтодела для сторонних клиентов). Интеграция внутренних сервисов компании с сервисами партнеров... Хорошее знание JavaScript (VanillaJs). Опыт разработки на Node.js (ES2015+, знание популярных модулей и фреймворков). Умеренное знание фронтэнд технологий..."
PHP-программист/Frontend разработчик,https://hh.ru/vacancy/35606483?query=Node,ООО АйТи Лайт,"Backend разработка на PHP. Верстка. Работа с API. Backend разработка на PHP, верстка, работа с API. Адаптивная верстка HTML5, CSS3. Уверенная работа с CSS-препроцессорами – SASS. "
Middle Node.js разработчик,https://hh.ru/vacancy/35770827?query=Node, DigitalHR,"Участие в разработке интересного продукта, непосредственное влияние на бизнес-результат. Back-end опыт 1,5-2-х лет. Знание Vanilla.js, Node.js, postgres, Redis, Javascript (ES6) и выше. "
Web-разработчик,https://hh.ru/vacancy/35623918?query=Node,ООО СНК-С,"Поддерживать и дорабатывать интернет-магазин на nopCommerce (бэкенд – ASP.NET, фронтенд – CSS / Sass, немного JS + jQuery + jQuery UI) в... Уверенное знание C# и ASP.NET / ASP.NET Core. Опыт работы с любым фронтенд JS-фреймворком. Знание принципов построения СУБД, SQL. "
JavaScript JS Developer,https://hh.ru/vacancy/35760625?query=Node,ООО КоллКипер,"Прорабатывать функционал страницы в соответствии с макетом. Тесно взаимодействовать с командой разработчиков - фронт- и бэкендом. Участвовать в релизах, быть на... Продвинутое знание JS. Умение работать с системой контроля версий Git. Умение следовать кодстилю и писать тестируемый код. Опыт работы с..."
"Full Stack Web Developer (Middle) Vue, JS, NET",https://hh.ru/vacancy/35829963?query=Node, SPN,"Бизнес-руководство, нацеленное на результат и сотрудничество. Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на... HTML, JS, SASS, Vue, Vuex, NodeJS, PostgreSQL, Docker, Kubernetes, C#, .Net Core, EF Core. Нужно быть знакомым со следующими технологиями..."
Full stack developer (Crypto Services),https://hh.ru/vacancy/35091903?query=Node, SIA Starbridge," Опыт разработки бэкэнда на NodeJS и ExpressJS. Экспертное знание JavaScript/TypeScript. Знание как Promises, так и RxJS. Опыт верстки под..."
Front-End Developer (React),https://hh.ru/vacancy/35776916?query=Node,ООО Глобал Майндс Рус,"Разработка и поддержка административных и абонентских интерфейсов с высокой нагрузкой. Разработка Web-интерфейсов, оптимизированных под мобильные устройства. Сотрудничество с front... Уверенные знания JavaScript, JQuery, JSON. Уверенные знания и опыт разработки c React от года. Уверенные знания верстки веб-страниц (HTML..."
Frontend-разработчик (Node.js),https://hh.ru/vacancy/35417858?query=Node,ООО МИЦ «Известия»,"Создание клиентской части современных web-приложений. Отличное знание Javascript, HTML5, CSS3, Node.js, Git. Желателен опыт работы с фреймворками Vue.js и Nuxt.js. Умение работать с..."
Senior Full stack разработчик,https://hh.ru/vacancy/35767312?query=Node, Hoodies,"Проект. Покрытие своего кода тестами. Оптимизация. Technical skills: Опыт работы на Node js, Apollo, Vue.js, Webpack. Глубокое знание JavaScript, Typescript. Использование стандарта ES6 и выше. "
Backend developer (Node.js) / Программист - разработчик,https://hh.ru/vacancy/35401917?query=Node,ООО Содружество,"Проектирование и создание ПО. Разработка и отладка программного кода. Написание, тестирование и поддержка старой и новой функциональности. Анализ и оптимизация... Опыт работы в компаниях от 5-ти лет на похожей должности. Умение разбираться в чужом коде. Знание JavaScript + Node.JS..."
JavaScript / Frontend-разработчик (Junior),https://hh.ru/vacancy/35705830?query=Node,ООО Quins," Обязательное: Знание JavaScript. Умение хорошо и правильно верстать (разумеется, нужно показать хотя бы несколько достойных работ). Строгое следование нашим внутренним..."
React Native Developer (Middle / Senior),https://hh.ru/vacancy/35785280?query=Node,ООО Николь,"Перед командой стоят задачи по разработке модульной системы в которую войдут: CMS, CRM, интеграционные решения с marketplace-платформами, учетными и... И последующего самостоятельного выхода на рынок. Обязательно: - знание React Native. - понимание нативной разработки под iOS и Android. - знание Redux-saga. - "
